index,page_id,system_dicision,crowd_dicision,correct,text,attribute,system_out,crowd_out
0,1014896,0,0,0,"['愛知', '県', '刈谷', '市', '井ヶ谷', '町', '小堤', '西', '1', '面積']",所在地,0.16666666666666666,0.0
1,1014896,1,1,1,"['愛知', '県', '刈谷', '市', '井ヶ谷', '町', '小堤', '西', '1']",所在地,0.8333333333333334,0.0
2,1014896,0,1,1,"['愛知', '県', '刈谷', '市', '井ヶ谷', '町', '小堤', '西', '1']",所在地,0.6666666666666666,0.0
3,1014896,0,1,1,"['こ', 'づつみにしいけ']",読み,0.8333333333333334,0.0
4,1014896,1,0,0,"['水田', '灌漑用', 'の', '池']",種類,0.16666666666666666,0.0
5,1014896,0,1,1,['池'],種類,0.5,0.0
6,1014896,1,0,0,['水田'],種類,0.16666666666666666,0.0
7,1014896,1,0,0,['灌漑'],種類,0.16666666666666666,0.0
8,1014896,0,0,0,['用'],種類,0.16666666666666666,0.0
9,1014896,1,1,1,['カキツバタ'],植物,0.6666666666666666,0.0
10,1014896,0,0,1,['カキツバタ'],植物,0.3333333333333333,0.0
11,1014896,0,1,1,['カキツバタ'],植物,0.6666666666666666,0.0
12,1014896,1,1,1,['カキツバタ'],植物,0.5,0.0
13,1014896,1,1,1,"['ノ', 'ハナショウブ']",植物,0.6666666666666666,0.0
14,1014896,1,1,1,"['ノ', 'カンゾウ']",植物,0.6666666666666666,0.0
15,1014896,1,1,1,['ヨシ'],植物,0.8333333333333334,0.0
16,1014896,1,1,1,['アンペライ'],植物,0.6666666666666666,0.0
17,1014896,0,1,1,['カキツバタ'],植物,0.5,0.0
18,1014896,0,0,0,"['カキツバタ', '群落']",植物,0.16666666666666666,0.0
19,1014896,1,0,0,['カキツバタ'],植物,0.16666666666666666,0.0
20,1014896,1,0,0,['カキツバタ'],植物,0.3333333333333333,0.0
21,1014896,1,0,0,['カキ'],植物,0.16666666666666666,0.0
22,1014896,1,0,0,['カキツバタ'],植物,0.3333333333333333,0.0
23,1014896,0,1,1,"['20', ',', '330', 'm', '2']",面積,0.6666666666666666,0.0
