text,attribute,model prediction,model choise,answer,model output
多々良沼,公園,0,crowd,0,"[-0.08722712844610214, 0.7754172086715698, -0.7927795052528381]"
約50万～35万年前,形成時期,0,crowd,1,"[-0.10233201831579208, 0.9429018497467041, -1.0023157596588135]"
東経138度16分,幅,0,annotator,0,"[-0.9999086856842041, -0.008480964228510857, 0.653488278388977]"
東経137.84333度,座標・経度,0,annotator,0,"[-0.9970214366912842, 0.0097587825730443, 0.6398864984512329]"
トルクメンバシ,湖岸の地域区分,0,crowd,1,"[0.34121763706207275, 0.7100480794906616, -1.1962456703186035]"
耳海,動物,0,crowd,0,"[0.0076299551874399185, 1.0437989234924316, -1.1472619771957397]"
浮島,島,0,crowd,0,"[0.26382389664649963, 0.6859835386276245, -1.0879114866256714]"
ザカフカース社会主義連邦ソビエト共和国,国,0,crowd,1,"[-0.763472855091095, 0.5642366409301758, -0.10365455597639084]"
北緯40度56分,座標・緯度,0,annotator,0,"[-0.8676352500915527, 0.15866369009017944, 0.38870561122894287]"
75▁▁m,水面標高,1,crowd,1,"[0.546465277671814, 1.4368730783462524, -2.1803393363952637]"
上田市,湖岸の地域区分,0,crowd,0,"[-0.07197116315364838, 0.9666889905929565, -1.0040795803070068]"
西印旛沼,構成する湖沼,0,crowd,0,"[-0.0344097837805748, 0.7055946588516235, -0.7649050354957581]"
中,所在地,0,crowd,0,"[0.06049952283501625, 0.8696249723434448, -1.022317886352539]"
フィッシング,動物,0,crowd,0,"[0.30943405628204346, 0.6777650117874146, -1.124455213546753]"
火山,形成時期,0,crowd,0,"[0.07576954364776611, 1.0201237201690674, -1.1791805028915405]"
170▁m,最大水深,1,crowd,1,"[0.33919841051101685, 1.3316320180892944, -1.8260085582733154]"
約2km,周囲長,1,crowd,1,"[0.120601125061512, 0.5435209274291992, -0.8108787536621094]"
東経138度33分39秒,幅,0,annotator,0,"[-1.0527242422103882, -0.006953425705432892, 0.6734767556190491]"
塩湖,種類,0,crowd,0,"[0.027356404811143875, 1.00654137134552, -1.142582893371582]"
ミル湖,別名,0,crowd,0,"[-0.031151100993156433, 0.8420915603637695, -0.9362651109695435]"
北緯35度20分39秒,島,0,annotator,0,"[-1.0551559925079346, 0.07478121668100357, 0.589435338973999]"
湖,種類,0,crowd,1,"[0.12918740510940552, 0.9629456996917725, -1.1912282705307007]"
ため池,種類,0,crowd,0,"[0.17900264263153076, 0.6584702730178833, -0.9664740562438965]"
人工湖,種類,0,crowd,1,"[0.024412233382463455, 0.7828874588012695, -0.9140035510063171]"
北緯40度44分46秒,島,0,annotator,0,"[-1.0205621719360352, 0.013042649254202843, 0.6389942765235901]"
清久工業団地のほぼ,所在地,0,crowd,0,"[-0.4234280586242676, 0.7016692161560059, -0.4383441209793091]"
京都市北区上賀茂深泥池町[1],所在地,0,crowd,0,"[0.22513338923454285, 1.3540842533111572, -1.7986363172531128]"
タモロコ,動物,1,crowd,1,"[0.28790658712387085, 0.6466506719589233, -1.0671709775924683]"
共和,国,0,crowd,0,"[-0.015737123787403107, 0.8650549650192261, -0.923845648765564]"
ロチェスター,湖岸の地域区分,1,crowd,1,"[0.2722713053226471, 0.7249687910079956, -1.1301655769348145]"
Hvítárlón,別名,0,crowd,1,"[0.2818533778190613, 0.7347710132598877, -1.1560657024383545]"
東経145.35000度,座標・経度,0,annotator,0,"[-1.0560402870178223, -0.009044630452990532, 0.6946619153022766]"
石油産業,産業,0,crowd,1,"[-0.11187758296728134, 0.8238604068756104, -0.8043879866600037]"
km最大水深7[1,周囲長,0,crowd,0,"[0.08059724420309067, 1.100791573524475, -1.3464927673339844]"
淡水,水質（淡水・汽水）,1,crowd,1,"[0.323682963848114, 0.6449353694915771, -1.1118237972259521]"
古代の火山噴火により流出河川が遮断されたため塩湖,成因,0,crowd,0,"[-0.10183129459619522, 1.0275721549987793, -1.0676593780517578]"
北緯44度,島,0,crowd,0,"[-0.023410063236951828, 0.7724765539169312, -0.8772108554840088]"
