text,attribute,model prediction,model choise,answer,model output
多々良沼,公園,0,crowd,0,"[0.0978747233748436, 0.7770541310310364, 0.12507112324237823]"
約50万～35万年前,形成時期,0,crowd,1,"[0.0613713301718235, 0.8494460582733154, 0.0891825258731842]"
東経138度16分,幅,0,annotator,0,"[0.026066474616527557, 0.4137822985649109, 0.5601512789726257]"
東経137.84333度,座標・経度,0,annotator,0,"[0.024490373209118843, 0.42435649037361145, 0.5511531233787537]"
トルクメンバシ,湖岸の地域区分,0,crowd,1,"[0.12309142202138901, 0.7994203567504883, 0.07748822122812271]"
耳海,動物,0,crowd,0,"[0.059013087302446365, 0.8681914210319519, 0.07279551029205322]"
浮島,島,0,crowd,0,"[0.13088048994541168, 0.7758217453956604, 0.09329784661531448]"
ザカフカース社会主義連邦ソビエト共和国,国,0,crowd,1,"[0.04529285058379173, 0.5908775925636292, 0.3638295531272888]"
北緯40度56分,座標・緯度,1,crowd,0,"[0.038600169122219086, 0.5625572204589844, 0.39884257316589355]"
75▁▁m,水面標高,1,crowd,1,"[0.07108740508556366, 0.9003785252571106, 0.02853408455848694]"
上田市,湖岸の地域区分,0,crowd,0,"[0.06152792274951935, 0.8486459255218506, 0.08982612937688828]"
西印旛沼,構成する湖沼,0,crowd,0,"[0.0888240858912468, 0.7878871560096741, 0.12328870594501495]"
中,所在地,0,crowd,0,"[0.08549067378044128, 0.8265806436538696, 0.08792873471975327]"
フィッシング,動物,0,crowd,0,"[0.13345465064048767, 0.7703155279159546, 0.09622981399297714]"
火山,形成時期,0,crowd,0,"[0.06860081851482391, 0.8618563413619995, 0.06954285502433777]"
170▁m,最大水深,1,crowd,1,"[0.05969397723674774, 0.9061576128005981, 0.034148458391427994]"
約2km,周囲長,1,crowd,1,"[0.08057548850774765, 0.7840411067008972, 0.13538336753845215]"
東経138度33分39秒,幅,0,annotator,0,"[0.02226492017507553, 0.40472152829170227, 0.5730135440826416]"
塩湖,種類,0,crowd,0,"[0.06675467640161514, 0.8486291766166687, 0.08461607247591019]"
ミル湖,別名,0,crowd,0,"[0.07481475919485092, 0.8135666251182556, 0.11161862313747406]"
北緯35度20分39秒,島,0,annotator,0,"[0.019454283639788628, 0.4057018458843231, 0.5748438835144043]"
湖,種類,0,crowd,1,"[0.0777200311422348, 0.8504367470741272, 0.0718432366847992]"
ため池,種類,0,crowd,0,"[0.12485314160585403, 0.7619943618774414, 0.11315245926380157]"
人工湖,種類,0,crowd,1,"[0.08763498812913895, 0.7935085892677307, 0.11885641515254974]"
北緯40度44分46秒,島,0,annotator,0,"[0.019376765936613083, 0.3979068100452423, 0.5827164053916931]"
清久工業団地のほぼ,所在地,0,crowd,0,"[0.06361488252878189, 0.7360239624977112, 0.2003612071275711]"
京都市北区上賀茂深泥池町[1],所在地,0,crowd,0,"[0.0795738473534584, 0.8830448985099792, 0.03738124668598175]"
タモロコ,動物,1,crowd,1,"[0.13189105689525604, 0.7722756266593933, 0.09583324193954468]"
共和,国,0,crowd,0,"[0.07727830857038498, 0.823835551738739, 0.09888611733913422]"
ロチェスター,湖岸の地域区分,1,crowd,1,"[0.11986769735813141, 0.7871055603027344, 0.0930267795920372]"
Hvítárlón,別名,0,crowd,1,"[0.11545462161302567, 0.7989616394042969, 0.08558371663093567]"
東経145.35000度,座標・経度,0,annotator,0,"[0.01894093118607998, 0.37652722001075745, 0.6045318841934204]"
石油産業,産業,0,crowd,1,"[0.07818441092967987, 0.8017439246177673, 0.1200716570019722]"
km最大水深7[1,周囲長,0,crowd,0,"[0.06064692884683609, 0.8715596199035645, 0.06779348105192184]"
淡水,水質（淡水・汽水）,1,crowd,1,"[0.14107921719551086, 0.761955738067627, 0.09696503728628159]"
古代の火山噴火により流出河川が遮断されたため塩湖,成因,0,crowd,0,"[0.04816751182079315, 0.8827961683273315, 0.06903630495071411]"
北緯44度,島,0,crowd,0,"[0.08846209943294525, 0.793880045413971, 0.11765789985656738]"
ハクチョウ,動物,1,crowd,1,"[0.1261371225118637, 0.7818155288696289, 0.09204734116792679]"
228▁m,水深,0,crowd,0,"[0.09859155118465424, 0.8265911340713501, 0.07481729984283447]"
中華人民共和国,国,1,crowd,1,"[0.07658616453409195, 0.8384718894958496, 0.08494189381599426]"
38.633,座標・緯度,0,crowd,0,"[0.051584430038928986, 0.8848847150802612, 0.06353089958429337]"
水鳥,動物,0,crowd,0,"[0.12839765846729279, 0.7738604545593262, 0.09774185717105865]"
植物群落,構成する湖沼,0,crowd,0,"[0.08557803183794022, 0.8057253360748291, 0.1086966022849083]"
賀茂川,流入・流出河川,1,crowd,0,"[0.1217828020453453, 0.7724384069442749, 0.1057787537574768]"
湖,種類,1,crowd,1,"[0.06672810763120651, 0.8669304251670837, 0.06634145975112915]"
滝ノ沢,流入・流出河川,1,crowd,1,"[0.11898639798164368, 0.7963946461677551, 0.0846189484000206]"
古墳,観光地,0,crowd,0,"[0.08845008909702301, 0.8754525184631348, 0.03609735518693924]"
アルゼンチン,国,0,crowd,0,"[0.07931480556726456, 0.8384687304496765, 0.08221645653247833]"
36.50083,座標・緯度,0,crowd,0,"[0.0608491450548172, 0.8762509822845459, 0.06289995461702347]"
渡り鳥,動物,0,crowd,0,"[0.12463448941707611, 0.7889935374259949, 0.08637190610170364]"
1982年,形成時期,0,crowd,0,"[0.07203006744384766, 0.8086344003677368, 0.1193355992436409]"
43.700,座標・緯度,0,crowd,0,"[0.10256700962781906, 0.835455596446991, 0.061977434903383255]"
赤,構成する湖沼,0,crowd,0,"[0.07776563614606857, 0.8274648189544678, 0.09476960450410843]"
氷河湖,形成時期,0,crowd,0,"[0.10676541924476624, 0.779884934425354, 0.11334966123104095]"
北緯28.933度,座標・緯度,0,annotator,0,"[0.021903812885284424, 0.4079510271549225, 0.5701451301574707]"
チャウバナガンガマウグ湖,別名,0,crowd,0,"[0.09320084005594254, 0.8051414489746094, 0.1016576737165451]"
8910111213141516171819上水道,周囲長,0,crowd,0,"[0.1102813109755516, 0.7735134363174438, 0.11620524525642395]"
)▁[3]水量12,成因,0,crowd,0,"[0.07152116298675537, 0.897453784942627, 0.031025132164359093]"
140.25000,座標・経度,0,crowd,0,"[0.05813102051615715, 0.885277509689331, 0.05659142881631851]"
Markermeer▁マルケルメーア,読み,0,crowd,0,"[0.10332148522138596, 0.8250270485877991, 0.07165148109197617]"
サワギキョウ,植物,0,crowd,1,"[0.12679709494113922, 0.7798272371292114, 0.09337560832500458]"
922▁ft,水面標高,0,crowd,1,"[0.10047613829374313, 0.8068937659263611, 0.0926300659775734]"
134.0939722,座標・経度,0,crowd,0,"[0.08296017348766327, 0.8191530704498291, 0.09788677096366882]"
オオセグロカモメ,別名,0,crowd,0,"[0.13991717994213104, 0.7679929733276367, 0.09208986908197403]"
