text,attribute,model prediction,model choise,answer,model output
多々良沼,公園,0,crowd,0,"[0.01920618675649166, 0.7147587537765503, -0.7980384230613708]"
約50万～35万年前,形成時期,0,crowd,1,"[-0.030489323660731316, 0.8401362299919128, -0.9032706022262573]"
東経138度16分,幅,0,annotator,0,"[-0.8252201676368713, -0.10038189589977264, 0.6396030187606812]"
東経137.84333度,座標・経度,0,annotator,0,"[-0.8332363963127136, -0.0893511027097702, 0.6318883895874023]"
トルクメンバシ,湖岸の地域区分,0,crowd,1,"[0.5064509510993958, 0.5888912677764893, -1.2594332695007324]"
耳海,動物,0,crowd,0,"[0.0867544487118721, 0.907130777835846, -1.1665852069854736]"
浮島,島,0,crowd,0,"[0.3923201560974121, 0.5835220217704773, -1.1268283128738403]"
ザカフカース社会主義連邦ソビエト共和国,国,0,crowd,1,"[-0.6172547936439514, 0.4716174900531769, -0.07785014063119888]"
北緯40度56分,座標・緯度,0,annotator,0,"[-0.6497913599014282, 0.11624836921691895, 0.30237311124801636]"
75▁▁m,水面標高,1,crowd,1,"[0.6541829109191895, 1.275953769683838, -2.166443109512329]"
上田市,湖岸の地域区分,0,crowd,0,"[0.010259784758090973, 0.830382764339447, -1.0055031776428223]"
西印旛沼,構成する湖沼,0,crowd,0,"[0.06112005561590195, 0.6110804080963135, -0.7933556437492371]"
中,所在地,0,crowd,0,"[0.15959887206554413, 0.6543981432914734, -0.9402704834938049]"
フィッシング,動物,0,system,0,"[0.532302737236023, 0.5092594027519226, -1.2012017965316772]"
火山,形成時期,0,crowd,0,"[0.18401604890823364, 0.8534987568855286, -1.2001651525497437]"
170▁m,最大水深,1,crowd,1,"[0.46366530656814575, 1.1235767602920532, -1.8018280267715454]"
約2km,周囲長,1,crowd,1,"[0.22262097895145416, 0.4051589071750641, -0.7192087769508362]"
東経138度33分39秒,幅,0,annotator,0,"[-0.8859020471572876, -0.09964126348495483, 0.668647825717926]"
塩湖,種類,0,crowd,0,"[0.15290005505084991, 0.8259197473526001, -1.1365045309066772]"
ミル湖,別名,0,crowd,0,"[0.09712137281894684, 0.7471078634262085, -0.9822924137115479]"
北緯35度20分39秒,島,0,annotator,0,"[-0.9090787172317505, -0.07163262367248535, 0.6682918667793274]"
湖,種類,0,crowd,1,"[0.2834298610687256, 0.8318295478820801, -1.2861089706420898]"
ため池,種類,0,crowd,0,"[0.3492894172668457, 0.5495772957801819, -1.0330559015274048]"
人工湖,種類,0,crowd,1,"[0.148979052901268, 0.6370342969894409, -0.9141978025436401]"
北緯40度44分46秒,島,0,annotator,0,"[-0.8913480639457703, -0.07898116111755371, 0.6638069152832031]"
清久工業団地のほぼ,所在地,0,crowd,0,"[-0.2886383533477783, 0.6554991006851196, -0.4630604684352875]"
京都市北区上賀茂深泥池町[1],所在地,0,crowd,0,"[0.2778317630290985, 1.3240858316421509, -1.8051573038101196]"
タモロコ,動物,1,crowd,1,"[0.4243911802768707, 0.566277265548706, -1.145291805267334]"
共和,国,0,crowd,0,"[0.1158112958073616, 0.71448814868927, -0.9646739959716797]"
ロチェスター,湖岸の地域区分,1,crowd,1,"[0.43036210536956787, 0.5721429586410522, -1.1556614637374878]"
Hvítárlón,別名,0,crowd,1,"[0.4257945418357849, 0.5707414746284485, -1.1477776765823364]"
東経145.35000度,座標・経度,0,annotator,0,"[-0.8857369422912598, -0.10083642601966858, 0.6778758764266968]"
石油産業,産業,0,crowd,1,"[0.016318120062351227, 0.6232718825340271, -0.757865846157074]"
km最大水深7[1,周囲長,0,crowd,0,"[0.22150519490242004, 1.0165654420852661, -1.3982713222503662]"
淡水,水質（淡水・汽水）,1,crowd,1,"[0.46973973512649536, 0.4836268424987793, -1.0904619693756104]"
古代の火山噴火により流出河川が遮断されたため塩湖,成因,0,crowd,0,"[0.08886516094207764, 0.8970858454704285, -1.0949128866195679]"
北緯44度,島,0,crowd,0,"[0.06579940766096115, 0.7279792428016663, -0.8851771354675293]"
ハクチョウ,動物,1,crowd,1,"[0.4423229694366455, 0.5581069588661194, -1.153330683708191]"
228▁m,水深,0,crowd,0,"[0.19098395109176636, 0.8355773091316223, -1.1370482444763184]"
中華人民共和国,国,1,crowd,1,"[0.13505491614341736, 0.8096740245819092, -1.0923478603363037]"
38.633,座標・緯度,0,crowd,0,"[0.18844905495643616, 1.057555913925171, -1.4304097890853882]"
水鳥,動物,0,crowd,0,"[0.4102921485900879, 0.5518457889556885, -1.1099414825439453]"
植物群落,構成する湖沼,0,crowd,0,"[0.06365565210580826, 0.6458582282066345, -0.8024201989173889]"
賀茂川,流入・流出河川,1,crowd,0,"[0.42350658774375916, 0.5163364410400391, -1.0858851671218872]"
湖,種類,1,crowd,1,"[0.16243019700050354, 0.8831978440284729, -1.2153780460357666]"
滝ノ沢,流入・流出河川,1,crowd,1,"[0.4602963924407959, 0.5858753323554993, -1.2102651596069336]"
古墳,観光地,0,crowd,0,"[0.2784442901611328, 1.1033122539520264, -1.519073247909546]"
アルゼンチン,国,0,crowd,0,"[0.1800287365913391, 0.722029447555542, -1.0458451509475708]"
36.50083,座標・緯度,0,crowd,0,"[0.21284985542297363, 0.9992032051086426, -1.3788111209869385]"
渡り鳥,動物,0,crowd,0,"[0.40556344389915466, 0.5632768869400024, -1.1227988004684448]"
1982年,形成時期,0,crowd,0,"[0.044605568051338196, 0.6867526173591614, -0.8604233264923096]"
43.700,座標・緯度,0,system,0,"[0.5222188234329224, 0.5093103647232056, -1.1584272384643555]"
赤,構成する湖沼,0,crowd,0,"[0.09938493371009827, 0.7481770515441895, -0.988235354423523]"
氷河湖,形成時期,0,crowd,0,"[0.15548580884933472, 0.6876147985458374, -0.9479705095291138]"
北緯28.933度,座標・緯度,0,annotator,0,"[-0.8804145455360413, -0.056712400168180466, 0.6355831623077393]"
チャウバナガンガマウグ湖,別名,0,crowd,0,"[0.13410478830337524, 0.8065201044082642, -1.0616868734359741]"
8910111213141516171819上水道,周囲長,0,crowd,0,"[0.13012269139289856, 0.64361572265625, -0.8592289686203003]"
)▁[3]水量12,成因,0,crowd,0,"[0.5457119345664978, 1.2243164777755737, -1.9923709630966187]"
140.25000,座標・経度,0,crowd,0,"[0.24518983066082, 1.0599561929702759, -1.4975522756576538]"
Markermeer▁マルケルメーア,読み,0,crowd,0,"[0.5396674871444702, 0.7357255220413208, -1.4453253746032715]"
サワギキョウ,植物,0,crowd,1,"[0.4184441864490509, 0.5034351348876953, -1.0537145137786865]"
922▁ft,水面標高,0,crowd,1,"[0.19699819386005402, 0.7707851529121399, -1.0800669193267822]"
134.0939722,座標・経度,0,crowd,0,"[0.09248614311218262, 0.8272664546966553, -1.0277925729751587]"
オオセグロカモメ,別名,0,crowd,0,"[0.499243825674057, 0.5435227751731873, -1.208289623260498]"
ショウジョウバカマ,植物,1,crowd,1,"[0.4143759310245514, 0.5487080812454224, -1.114668846130371]"
イラン,国,1,crowd,1,"[0.14272841811180115, 0.7188047170639038, -0.9978482723236084]"
4.0▁m,透明度,1,crowd,1,"[0.18368546664714813, 0.8683480620384216, -1.1846951246261597]"
ヌー,別名,0,crowd,0,"[0.4653860926628113, 0.5420592427253723, -1.1526970863342285]"
"24,321,000▁エーカー・フィート",貯水量,0,crowd,1,"[0.5771681070327759, 1.182961106300354, -1.9732435941696167]"
武藏小埼沼,別名,0,crowd,0,"[0.23618869483470917, 0.7002711296081543, -1.063339352607727]"
バルカン半島,所在地,0,crowd,1,"[0.37365034222602844, 0.6312249302864075, -1.1683642864227295]"
カナダ,国,1,crowd,0,"[0.23851072788238525, 0.8386551737785339, -1.2369688749313354]"
キンクロハジロ,別名,0,crowd,0,"[0.4406846761703491, 0.5701875686645508, -1.1674513816833496]"
貯水池,種類,0,crowd,0,"[0.4250427186489105, 0.5523796677589417, -1.128814697265625]"
瀬之波橋,橋・トンネル,0,crowd,0,"[0.08339545130729675, 0.7089598774909973, -0.9074984192848206]"
南緯22度47分38秒,座標・緯度,0,annotator,0,"[-0.9158344864845276, -0.06395746767520905, 0.6510323286056519]"
トルクメニ,湖岸の地域区分,0,crowd,0,"[0.42699915170669556, 0.5864641666412354, -1.1732105016708374]"
8.1km,長さ,1,crowd,0,"[0.4505463242530823, 1.1330236196517944, -1.8057101964950562]"
水系,流入・流出河川,0,crowd,0,"[0.12766408920288086, 0.773679792881012, -1.045417070388794]"
430▁km,周囲長,0,crowd,1,"[0.3999660611152649, 0.8366175889968872, -1.3979741334915161]"
北緯38.633度,座標・緯度,0,annotator,0,"[-0.8701125383377075, -0.15345871448516846, 0.722323477268219]"
オシリスの湖,動物,0,crowd,0,"[-0.14028584957122803, 0.7641739845275879, -0.6953678131103516]"
"マガジャネス・イ・デ・ラ・アンタルティカ・チレーナ州,▁ティエラ・デル・フエゴ県",所在地,0,crowd,0,"[0.33136501908302307, 0.9709757566452026, -1.4524240493774414]"
93.7m,水面標高,1,crowd,1,"[0.17689400911331177, 0.9205846190452576, -1.2676113843917847]"
ビオビオ州トルパン東部,所在地,1,crowd,1,"[0.05751810222864151, 0.8489222526550293, -0.988341212272644]"
45ft,最大水深,0,crowd,1,"[0.17856159806251526, 0.8834018707275391, -1.241060495376587]"
ニホンマムシ,別名,0,crowd,0,"[0.4481847584247589, 0.5505952835083008, -1.1509145498275757]"
性空上人が拓いたと言われる東霧島（つまきりしま）神社,名前の謂れ,0,crowd,0,"[0.5019416809082031, 0.8623296022415161, -1.5222649574279785]"
