text,attribute,model prediction,model choise,answer,model output
多々良沼,公園,0,crowd,0,"[0.15472348034381866, 0.6495007276535034, -0.7961614727973938]"
約50万～35万年前,形成時期,0,crowd,1,"[0.11309556663036346, 0.8204091787338257, -0.982446014881134]"
東経138度16分,幅,0,annotator,0,"[-0.6763876080513, -0.21310603618621826, 0.6768361926078796]"
東経137.84333度,座標・経度,0,annotator,0,"[-0.75880366563797, -0.2121434211730957, 0.7502714991569519]"
トルクメンバシ,湖岸の地域区分,0,system,1,"[0.6514535546302795, 0.43567970395088196, -1.2139300107955933]"
耳海,動物,0,crowd,0,"[0.25292253494262695, 0.8568943738937378, -1.2276290655136108]"
浮島,島,1,system,0,"[0.5705724954605103, 0.47052237391471863, -1.150322437286377]"
ザカフカース社会主義連邦ソビエト共和国,国,0,crowd,1,"[-0.5531832575798035, 0.3103736937046051, 0.09691312909126282]"
北緯40度56分,座標・緯度,0,annotator,0,"[-0.5735572576522827, -0.06778816878795624, 0.4635309875011444]"
75▁▁m,水面標高,1,crowd,1,"[0.7775495648384094, 1.2072813510894775, -2.1994190216064453]"
上田市,湖岸の地域区分,0,crowd,0,"[0.19122782349586487, 0.7498474717140198, -1.0400025844573975]"
西印旛沼,構成する湖沼,0,crowd,0,"[0.20270520448684692, 0.5480214953422546, -0.8168192505836487]"
中,所在地,0,crowd,0,"[0.2537470757961273, 0.5743743181228638, -0.9118544459342957]"
フィッシング,動物,0,system,0,"[0.6301790475845337, 0.43951523303985596, -1.199489712715149]"
火山,形成時期,0,crowd,0,"[0.348499596118927, 0.8151594400405884, -1.303430199623108]"
170▁m,最大水深,1,crowd,1,"[0.6412715911865234, 1.0634649991989136, -1.8903647661209106]"
約2km,周囲長,0,system,1,"[0.36273860931396484, 0.2987618148326874, -0.7802954912185669]"
東経138度33分39秒,幅,0,annotator,0,"[-0.7743884325027466, -0.2209397554397583, 0.7471153140068054]"
塩湖,種類,0,crowd,0,"[0.29759544134140015, 0.8052886128425598, -1.2131235599517822]"
ミル湖,別名,0,crowd,0,"[0.17257171869277954, 0.6374399662017822, -0.8641425371170044]"
北緯35度20分39秒,島,0,annotator,0,"[-0.7658765912055969, -0.1533471941947937, 0.6929010152816772]"
湖,種類,0,crowd,1,"[0.4472007751464844, 0.6740520000457764, -1.2536345720291138]"
ため池,種類,0,system,0,"[0.5112003087997437, 0.4452631175518036, -1.0623105764389038]"
人工湖,種類,0,crowd,1,"[0.2641611099243164, 0.5678775310516357, -0.9006816148757935]"
北緯40度44分46秒,島,0,annotator,0,"[-0.7046300768852234, -0.156955748796463, 0.6471485495567322]"
清久工業団地のほぼ,所在地,0,crowd,0,"[-0.29067280888557434, 0.48556986451148987, -0.22325116395950317]"
京都市北区上賀茂深泥池町[1],所在地,0,crowd,0,"[0.3882278800010681, 1.1608681678771973, -1.7103883028030396]"
タモロコ,動物,1,system,1,"[0.5403335094451904, 0.43965840339660645, -1.0801852941513062]"
共和,国,0,crowd,0,"[0.2551419138908386, 0.6336430907249451, -0.9792885780334473]"
ロチェスター,湖岸の地域区分,1,system,1,"[0.5397211313247681, 0.47434407472610474, -1.1286537647247314]"
Hvítárlón,別名,0,system,1,"[0.5367260575294495, 0.4658714234828949, -1.116700530052185]"
東経145.35000度,座標・経度,0,annotator,0,"[-0.7406601905822754, -0.19313016533851624, 0.7029572129249573]"
石油産業,産業,0,crowd,1,"[0.1568077802658081, 0.5737408995628357, -0.7834917902946472]"
km最大水深7[1,周囲長,0,crowd,0,"[0.3243088722229004, 0.8980627655982971, -1.3487848043441772]"
淡水,水質（淡水・汽水）,0,system,1,"[0.590076744556427, 0.3482981324195862, -1.0392190217971802]"
古代の火山噴火により流出河川が遮断されたため塩湖,成因,0,crowd,0,"[0.19408154487609863, 0.8421849012374878, -1.0805368423461914]"
北緯44度,島,0,crowd,0,"[0.23732075095176697, 0.6431615948677063, -0.8929897546768188]"
ハクチョウ,動物,1,system,1,"[0.6022259593009949, 0.3985886573791504, -1.1087735891342163]"
228▁m,水深,0,crowd,0,"[0.40437594056129456, 0.7647953629493713, -1.2510231733322144]"
中華人民共和国,国,1,crowd,1,"[0.30238664150238037, 0.7614859938621521, -1.1640976667404175]"
38.633,座標・緯度,0,crowd,0,"[0.332332581281662, 0.9506756067276001, -1.410284399986267]"
水鳥,動物,0,system,0,"[0.5162136554718018, 0.45437878370285034, -1.0740423202514648]"
植物群落,構成する湖沼,0,crowd,0,"[0.184149369597435, 0.6037073135375977, -0.8251481056213379]"
賀茂川,流入・流出河川,1,system,0,"[0.5657108426094055, 0.40099549293518066, -1.0745536088943481]"
湖,種類,1,crowd,1,"[0.27104830741882324, 0.7654800415039062, -1.1535756587982178]"
滝ノ沢,流入・流出河川,0,system,1,"[0.5955811738967896, 0.47779884934425354, -1.2010520696640015]"
古墳,観光地,0,crowd,0,"[0.4717930555343628, 0.8271981477737427, -1.43081533908844]"
アルゼンチン,国,0,crowd,0,"[0.2558321952819824, 0.6742929816246033, -1.029185175895691]"
36.50083,座標・緯度,0,crowd,0,"[0.37188535928726196, 0.9311962723731995, -1.4401746988296509]"
渡り鳥,動物,1,system,0,"[0.5638622641563416, 0.45140254497528076, -1.139119267463684]"
1982年,形成時期,0,crowd,0,"[0.12387138605117798, 0.573520839214325, -0.7358372211456299]"
43.700,座標・緯度,0,system,0,"[0.5924392342567444, 0.3866877555847168, -1.0909786224365234]"
赤,構成する湖沼,0,crowd,0,"[0.23459173738956451, 0.6049247980117798, -0.932555615901947]"
氷河湖,形成時期,0,crowd,0,"[0.24587851762771606, 0.6296546459197998, -0.9049274921417236]"
北緯28.933度,座標・緯度,0,annotator,0,"[-0.6820228695869446, -0.16099698841571808, 0.6324664950370789]"
チャウバナガンガマウグ湖,別名,0,crowd,0,"[0.23989707231521606, 0.7415551543235779, -1.0201717615127563]"
8910111213141516171819上水道,周囲長,0,crowd,0,"[0.28405943512916565, 0.5920513868331909, -0.9135817289352417]"
)▁[3]水量12,成因,0,crowd,0,"[0.6485113501548767, 1.129606008529663, -1.9820590019226074]"
140.25000,座標・経度,0,crowd,0,"[0.3521130681037903, 0.9640932083129883, -1.4547885656356812]"
Markermeer▁マルケルメーア,読み,1,system,0,"[0.6860744953155518, 0.5849400162696838, -1.3991979360580444]"
サワギキョウ,植物,1,system,1,"[0.5945987105369568, 0.3976074159145355, -1.0991058349609375]"
922▁ft,水面標高,0,crowd,1,"[0.301429808139801, 0.7166002988815308, -1.0515148639678955]"
134.0939722,座標・経度,0,crowd,0,"[0.23593363165855408, 0.762998104095459, -1.0369236469268799]"
オオセグロカモメ,別名,0,system,0,"[0.6273355484008789, 0.43050113320350647, -1.1936018466949463]"
ショウジョウバカマ,植物,0,system,1,"[0.550236165523529, 0.40604621171951294, -1.0610017776489258]"
イラン,国,1,crowd,1,"[0.20630094408988953, 0.5985018014907837, -0.8862335085868835]"
4.0▁m,透明度,1,crowd,1,"[0.3007279634475708, 0.8405982851982117, -1.2360893487930298]"
ヌー,別名,0,system,0,"[0.6188778281211853, 0.4399227201938629, -1.1833553314208984]"
"24,321,000▁エーカー・フィート",貯水量,0,crowd,1,"[0.7867856025695801, 1.1137843132019043, -2.1013755798339844]"
武藏小埼沼,別名,0,crowd,0,"[0.39711496233940125, 0.5816071629524231, -1.0430716276168823]"
バルカン半島,所在地,1,system,1,"[0.5244805812835693, 0.5011513233184814, -1.1409114599227905]"
カナダ,国,1,crowd,0,"[0.3343125879764557, 0.7152336835861206, -1.156758427619934]"
キンクロハジロ,別名,0,system,0,"[0.5403390526771545, 0.41674622893333435, -1.0479909181594849]"
貯水池,種類,1,system,0,"[0.5588415265083313, 0.4449399411678314, -1.114536166191101]"
瀬之波橋,橋・トンネル,0,crowd,0,"[0.22510585188865662, 0.6371645331382751, -0.9355580806732178]"
南緯22度47分38秒,座標・緯度,0,annotator,0,"[-0.7640935778617859, -0.1229291558265686, 0.6540279984474182]"
トルクメニ,湖岸の地域区分,1,system,0,"[0.578967809677124, 0.47539961338043213, -1.1727211475372314]"
8.1km,長さ,1,crowd,0,"[0.5315071940422058, 1.1411635875701904, -1.8670580387115479]"
水系,流入・流出河川,0,crowd,0,"[0.303086519241333, 0.7174568772315979, -1.1499757766723633]"
430▁km,周囲長,0,crowd,1,"[0.5340980291366577, 0.7264280915260315, -1.378077507019043]"
北緯38.633度,座標・緯度,0,annotator,0,"[-0.691527247428894, -0.2492169439792633, 0.7183405756950378]"
オシリスの湖,動物,0,crowd,0,"[-0.005577174946665764, 0.7236701846122742, -0.6877151727676392]"
"マガジャネス・イ・デ・ラ・アンタルティカ・チレーナ州,▁ティエラ・デル・フエゴ県",所在地,0,crowd,0,"[0.38930922746658325, 0.9689640402793884, -1.4576241970062256]"
93.7m,水面標高,1,crowd,1,"[0.33953261375427246, 0.8206357359886169, -1.2897934913635254]"
ビオビオ州トルパン東部,所在地,1,crowd,1,"[0.12605877220630646, 0.8034917116165161, -0.9357025623321533]"
45ft,最大水深,0,crowd,1,"[0.27785515785217285, 0.8581568598747253, -1.2585904598236084]"
ニホンマムシ,別名,0,system,0,"[0.5811246633529663, 0.4542699158191681, -1.1542059183120728]"
性空上人が拓いたと言われる東霧島（つまきりしま）神社,名前の謂れ,0,crowd,0,"[0.6188466548919678, 0.6603091359138489, -1.4204927682876587]"
利根川,流入・流出河川,0,system,1,"[0.5699599981307983, 0.47304919362068176, -1.1498080492019653]"
ベニアマモ属,植物,0,crowd,0,"[0.29829347133636475, 0.43273141980171204, -0.7549489736557007]"
断層活動により隆起した古富士泥流の窪地を拡大させて形成された,成因,0,crowd,0,"[-0.1789298951625824, 0.9933871030807495, -0.836610734462738]"
Μοἵρις,動物,0,crowd,0,"[0.22002241015434265, 0.6020879745483398, -0.8809236288070679]"
無人島,島,1,system,0,"[0.5607271790504456, 0.5171497464179993, -1.2146052122116089]"
メダカ,別名,0,system,0,"[0.5938706994056702, 0.42143407464027405, -1.1366208791732788]"
東経138.56083度,座標・経度,0,annotator,0,"[-0.6598880290985107, -0.1948951929807663, 0.6564340591430664]"
ふるさと広場,観光地,0,crowd,1,"[0.17328426241874695, 0.6389444470405579, -0.8158664703369141]"
支笏湖観光センター,観光地,1,crowd,1,"[0.06410658359527588, 0.6881932020187378, -0.7241333723068237]"
鬼怒川,流入・流出河川,1,system,0,"[0.5860422849655151, 0.5098246335983276, -1.2242990732192993]"
江戸時代に開削された農業用水路・塩沢堰に施された改良事業の一環として建設されたものである,成因,0,crowd,0,"[0.02716941386461258, 1.242570161819458, -1.2993569374084473]"
グルジア,国,1,system,0,"[0.6390458345413208, 0.5059764981269836, -1.2830321788787842]"
松本市,所在地,0,crowd,0,"[0.15935100615024567, 0.7282896637916565, -0.9660384654998779]"
137.83472,座標・経度,1,crowd,0,"[0.2529396116733551, 0.6928361058235168, -0.9832462668418884]"
64.42000,島,0,crowd,0,"[0.40852928161621094, 1.0176879167556763, -1.5756105184555054]"
59.,座標・緯度,0,crowd,0,"[0.2584531307220459, 0.9254916310310364, -1.3051713705062866]"
東海北陸自動車道桜ヶ池ハイウェイオアシスに隣接する,所在地,0,crowd,0,"[0.23025214672088623, 0.7561572194099426, -1.0470951795578003]"
21.033,座標・経度,0,crowd,0,"[0.2657252252101898, 0.8949602246284485, -1.2706547975540161]"
金精トンネル,橋・トンネル,0,crowd,0,"[0.12103098630905151, 0.8493806719779968, -1.0483590364456177]"
湖,種類,0,crowd,0,"[0.3343549966812134, 0.5361688137054443, -0.9686809778213501]"
東経13.792222度,座標・経度,0,annotator,0,"[-0.7137895226478577, -0.21023547649383545, 0.7157762050628662]"
アメリカ合衆国,国,1,crowd,1,"[0.29971009492874146, 0.7704671621322632, -1.1842225790023804]"
東経137度50分36秒,座標・経度,0,annotator,0,"[-0.6375868916511536, -0.12124954164028168, 0.5556799173355103]"
チョウザメ類,動物,0,crowd,1,"[0.29079750180244446, 0.6819888949394226, -1.0148789882659912]"
北ホラント州,湖岸の地域区分,1,crowd,1,"[0.16695190966129303, 0.6084773540496826, -0.8376222252845764]"
"7,806ha",面積,0,crowd,0,"[0.3628945052623749, 0.9406040906906128, -1.4438527822494507]"
530m,最大水深,1,crowd,1,"[0.1040421575307846, 0.7015400528907776, -0.7934488654136658]"
佐濃,流入・流出河川,0,crowd,0,"[0.29653400182724, 0.7538599967956543, -1.151998519897461]"
40▁m,平均水深,1,crowd,1,"[0.42906731367111206, 1.0255966186523438, -1.6129502058029175]"
北緯28度56分,島,0,annotator,0,"[-0.7246027588844299, -0.1886342465877533, 0.6854438185691833]"
北緯36度55分27秒,島,0,annotator,0,"[-0.5513332486152649, -0.05543535575270653, 0.3665979504585266]"
137,座標・経度,1,system,0,"[0.6648998260498047, 0.47468531131744385, -1.270656704902649]"
渡り鳥,動物,1,system,0,"[0.5370379686355591, 0.48655545711517334, -1.1347604990005493]"
幸魂大橋,橋・トンネル,0,system,1,"[0.7089796662330627, 0.34253451228141785, -1.225036382675171]"
平池古墳群,観光地,0,annotator,0,"[-0.31554242968559265, 0.019290294498205185, 0.041472095996141434]"
コメ,産業,1,system,0,"[0.5539568066596985, 0.5065137147903442, -1.1784850358963013]"
水草,植物,0,system,0,"[0.45230957865715027, 0.40068092942237854, -0.9413062930107117]"
清久,観光地,1,system,0,"[0.6093312501907349, 0.3909570872783661, -1.1144142150878906]"
ハウトリブ堤防,流入・流出河川,0,crowd,0,"[0.23144155740737915, 0.628224790096283, -0.872908890247345]"
オランダ風の風車,湖岸の地域区分,0,crowd,0,"[0.040822193026542664, 0.6582138538360596, -0.7199353575706482]"
Hazar▁Denizi,別名,1,system,1,"[0.9542744159698486, 0.692033588886261, -1.8444164991378784]"
グレンキャニオンダム,所在地,1,system,0,"[0.5997328758239746, 0.44880080223083496, -1.1556931734085083]"
泥炭地,種類,0,crowd,0,"[0.13247813284397125, 0.659107506275177, -0.7963998913764954]"
中世に灌漑用として造られた,成因,0,crowd,0,"[0.350389689207077, 0.9282594919204712, -1.422128438949585]"
コアマモ,植物,1,system,0,"[0.684394896030426, 0.37372925877571106, -1.1848673820495605]"
約300m,長さ,0,crowd,1,"[0.296081006526947, 0.42159953713417053, -0.8233264684677124]"
タンチョウヅル,植物,0,crowd,0,"[0.21786074340343475, 0.6012057662010193, -0.8224949836730957]"
2.8▁m▁(9.2,座標・緯度,0,crowd,0,"[0.8700211644172668, 1.2517632246017456, -2.366636037826538]"
梓川,流入・流出河川,1,system,0,"[0.552598774433136, 0.4350539445877075, -1.10392165184021]"
アイオス・アキリオス島,島,0,crowd,1,"[0.11421714723110199, 0.7165610790252686, -0.8351147174835205]"
北緯67.500度,座標・緯度,0,annotator,0,"[-0.5512723326683044, 0.021265089511871338, 0.37574344873428345]"
イェータランド,所在地,0,system,1,"[0.5686163902282715, 0.43284091353416443, -1.1073963642120361]"
雲南省,別名,0,crowd,0,"[0.2532691955566406, 0.6439985632896423, -0.9325887560844421]"
小合溜,動物,0,crowd,0,"[0.27208685874938965, 0.6186943650245667, -0.9785370826721191]"
栄町,湖岸の地域区分,0,crowd,0,"[0.09106594324111938, 0.582510232925415, -0.7097464799880981]"
北緯35度31分5.66秒,座標・緯度,1,crowd,0,"[-0.5473226308822632, 0.2272430658340454, 0.15770134329795837]"
性,成因,0,crowd,0,"[0.2438882291316986, 0.7976438999176025, -1.155495047569275]"
東大鳥川,流入・流出河川,0,crowd,0,"[0.18070955574512482, 0.557019829750061, -0.8071224689483643]"
西経111,座標・経度,0,crowd,0,"[0.14571408927440643, 0.6823450922966003, -0.8332220911979675]"
50▁km,幅,0,crowd,0,"[0.5264604687690735, 0.9143320918083191, -1.5986882448196411]"
国立公園,公園,0,crowd,0,"[0.16260093450546265, 0.6006234884262085, -0.8201602101325989]"
モンチェゴルスク市,湖岸の地域区分,1,crowd,1,"[0.07385198771953583, 0.7379773259162903, -0.7857561111450195]"
みどろいけ,動物,0,crowd,0,"[0.20007526874542236, 0.6153708100318909, -0.8925936222076416]"
カキツバタ[,別名,0,crowd,0,"[0.3649727404117584, 0.6843050718307495, -1.0985773801803589]"
千葉県北西部、印西市、佐倉市、成田市、印旛郡栄町、八千代市にまたがる,所在地,1,crowd,1,"[0.1392170786857605, 0.9545190930366516, -1.1614506244659424]"
沼,種類,0,crowd,0,"[0.26000145077705383, 0.6702407002449036, -1.0239812135696411]"
水系本流の東大鳥川上流,所在地,0,crowd,0,"[0.08233870565891266, 0.846017062664032, -0.9899665117263794]"
Türkçe,島,0,crowd,0,"[0.467190682888031, 0.5031690001487732, -1.0723427534103394]"
美笛の滝,観光地,0,crowd,1,"[0.26375097036361694, 0.7060220241546631, -1.0070948600769043]"
ウミウチワ,動物,0,system,0,"[0.6215367317199707, 0.45051613450050354, -1.206827998161316]"
養,産業,0,crowd,0,"[0.27805158495903015, 0.8518905639648438, -1.252727746963501]"
木崎湖花火大会,湖岸の地域区分,0,crowd,0,"[0.09984526038169861, 0.7252500057220459, -0.7993457317352295]"
東経134度5分38.30秒,座標・経度,0,annotator,0,"[-0.7152731418609619, -0.13979025185108185, 0.6321231722831726]"
の言葉で「美しい湖」または「輝く水」に由来する,名前の謂れ,0,crowd,0,"[0.24343793094158173, 0.6933602094650269, -1.0180116891860962]"
ヨシノボリ,別名,0,system,0,"[0.509949803352356, 0.4146787226200104, -1.0173280239105225]"
u▁mi)水面標高6▁m▁(20▁f,貯水量,0,crowd,0,"[1.1473689079284668, 1.2145962715148926, -2.6315438747406006]"
エビモ,別名,0,system,0,"[0.5333503484725952, 0.40742939710617065, -1.045509934425354]"
「上高地」が史蹟名勝天然紀念物保存法による「名勝及ビ天然紀念物」に指定される際の,名前の謂れ,0,crowd,0,"[0.09301680326461792, 1.0357786417007446, -1.1899415254592896]"
鶴の舞橋,橋・トンネル,1,system,1,"[0.629871666431427, 0.4389452040195465, -1.1956026554107666]"
ミネアポリス・セントポール,所在地,1,system,0,"[0.4873601794242859, 0.4579147398471832, -1.0342350006103516]"
マサチューセッツ州ウースター郡,所在地,0,crowd,0,"[0.3514638841152191, 1.0546296834945679, -1.5548335313796997]"
円墳,観光地,0,crowd,0,"[0.24296049773693085, 0.5427013635635376, -0.8783383369445801]"
木崎湖温泉,観光地,1,crowd,1,"[0.14468376338481903, 0.6228066682815552, -0.7580282092094421]"
工業,産業,0,crowd,0,"[0.2740301489830017, 0.7473886609077454, -1.1399468183517456]"
94.6[3][4][2]▁m,成因,0,crowd,0,"[0.7539975047111511, 1.1921532154083252, -2.161559581756592]"
桐生競艇場,動物,0,crowd,0,"[0.038540780544281006, 0.7198045253753662, -0.7271584272384644]"
北緯44度,座標・緯度,1,crowd,0,"[0.16636130213737488, 0.6410846710205078, -0.7997698187828064]"
ヒシ,植物,1,system,1,"[0.5090059638023376, 0.4294993579387665, -1.034993290901184]"
北緯,座標・緯度,1,system,0,"[0.5818580389022827, 0.4878771901130676, -1.1900177001953125]"
ニジマス,別名,0,system,0,"[0.5384332537651062, 0.3899606466293335, -1.0157735347747803]"
24.1メートル,長さ,0,crowd,1,"[0.41620150208473206, 1.0846998691558838, -1.6702601909637451]"
2～4▁m,平均水深,1,crowd,1,"[0.4615645408630371, 0.8749102354049683, -1.48904550075531]"
弱アルカリ性,水質（淡水・汽水）,0,crowd,1,"[0.18104268610477448, 0.5585266351699829, -0.795823335647583]"
ため池,種類,0,system,1,"[0.5426396727561951, 0.49874818325042725, -1.1595607995986938]"
近隣の葛温泉から引湯をしている木崎湖温泉を擁し,所在地,0,crowd,0,"[0.14177466928958893, 0.9146191477775574, -1.128084421157837]"
ニュージーランド,国,1,crowd,1,"[0.23469005525112152, 0.7611488103866577, -1.1025277376174927]"
利根川洪水,流入・流出河川,0,crowd,0,"[0.0842231810092926, 0.715731680393219, -0.7843236923217773]"
約249km2,面積,1,crowd,1,"[0.24567145109176636, 0.4732687175273895, -0.811890721321106]"
119▁km,長さ,1,crowd,1,"[0.5735465884208679, 0.775897204875946, -1.4734116792678833]"
シコット[,別名,0,crowd,0,"[0.4010782837867737, 0.7373788356781006, -1.2269039154052734]"
イグサ,植物,1,system,1,"[0.6197726726531982, 0.44219034910202026, -1.1849535703659058]"
アイヌ語の「フーレ・ペツ」（赤い川）。これは本来、流入河川の風蓮川を指した地名であり、,名前の謂れ,0,crowd,0,"[0.7057310938835144, 0.7576902508735657, -1.6275157928466797]"
エネットビュルゲン,湖岸の地域区分,1,system,1,"[0.5991868376731873, 0.3940469026565552, -1.0939098596572876]"
ラント,国,0,crowd,0,"[0.20494495332241058, 0.6498354077339172, -0.9412355422973633]"
池,流入・流出河川,0,crowd,0,"[0.4723447561264038, 0.6573441028594971, -1.2900663614273071]"
ホラント州,湖岸の地域区分,0,crowd,0,"[0.2167629897594452, 0.7219582796096802, -0.966636061668396]"
東経136.727278度,座標・経度,0,annotator,0,"[-0.6906997561454773, -0.24800917506217957, 0.716585636138916]"
三日月湖,種類,1,crowd,1,"[0.18260812759399414, 0.726197361946106, -0.9293338656425476]"
ブレ,最大水深,1,system,0,"[0.5789668560028076, 0.46613258123397827, -1.1636217832565308]"
埼玉地区,所在地,1,crowd,0,"[0.22201287746429443, 0.6670404672622681, -0.9781386256217957]"
塩沢堰,成因,0,crowd,0,"[0.3098567724227905, 0.6273584961891174, -0.9813479781150818]"
