text,attribute,model prediction,model choise,answer,model output
多々良沼,公園,0,crowd,0,"[0.14670148491859436, 0.7285193800926208, 0.1247791051864624]"
約50万～35万年前,形成時期,0,crowd,1,"[0.10449930280447006, 0.7939832210540771, 0.10151749104261398]"
東経138度16分,幅,0,annotator,0,"[0.04531743749976158, 0.37732869386672974, 0.5773538947105408]"
東経137.84333度,座標・経度,0,annotator,0,"[0.04059358313679695, 0.36281952261924744, 0.5965868830680847]"
トルクメンバシ,湖岸の地域区分,0,crowd,1,"[0.17899155616760254, 0.7497585415840149, 0.07124994695186615]"
耳海,動物,0,crowd,0,"[0.10766752064228058, 0.8172481060028076, 0.07508435100317001]"
浮島,島,0,crowd,0,"[0.18634213507175446, 0.7145760655403137, 0.09908178448677063]"
ザカフカース社会主義連邦ソビエト共和国,国,0,crowd,1,"[0.07768721133470535, 0.6292449831962585, 0.2930677831172943]"
北緯40度56分,座標・緯度,1,crowd,0,"[0.06657520681619644, 0.4982278347015381, 0.4351969361305237]"
75▁▁m,水面標高,1,crowd,1,"[0.12376708537340164, 0.8516499996185303, 0.024582864716649055]"
上田市,湖岸の地域区分,0,crowd,0,"[0.10920190066099167, 0.8006038069725037, 0.09019432216882706]"
西印旛沼,構成する湖沼,0,crowd,0,"[0.13597898185253143, 0.7428060173988342, 0.12121502310037613]"
中,所在地,0,crowd,0,"[0.13931921124458313, 0.7659921050071716, 0.09468869864940643]"
フィッシング,動物,0,crowd,0,"[0.19894710183143616, 0.7191404700279236, 0.08191238343715668]"
火山,形成時期,0,crowd,0,"[0.12059879302978516, 0.8167595863342285, 0.06264162063598633]"
170▁m,最大水深,1,crowd,1,"[0.11889952421188354, 0.847537100315094, 0.03356338292360306]"
約2km,周囲長,1,crowd,1,"[0.1463269293308258, 0.714684784412384, 0.13898825645446777]"
東経138度33分39秒,幅,0,annotator,0,"[0.03958806395530701, 0.35892316699028015, 0.6014887690544128]"
塩湖,種類,0,crowd,0,"[0.11214695125818253, 0.8091155886650085, 0.07873742282390594]"
ミル湖,別名,0,crowd,0,"[0.12174330651760101, 0.7780376076698303, 0.10021905601024628]"
北緯35度20分39秒,島,0,annotator,0,"[0.0457715205848217, 0.4300221800804138, 0.524206280708313]"
湖,種類,0,crowd,1,"[0.13335417211055756, 0.7889219522476196, 0.07772383838891983]"
ため池,種類,0,crowd,0,"[0.18274810910224915, 0.7130440473556519, 0.10420788824558258]"
人工湖,種類,0,crowd,1,"[0.13480256497859955, 0.7478270530700684, 0.11737032979726791]"
北緯40度44分46秒,島,0,annotator,0,"[0.04090503230690956, 0.3820455074310303, 0.5770494937896729]"
清久工業団地のほぼ,所在地,0,crowd,0,"[0.09050799906253815, 0.6450968384742737, 0.26439520716667175]"
京都市北区上賀茂深泥池町[1],所在地,0,crowd,0,"[0.12258671969175339, 0.8436038494110107, 0.03380940109491348]"
タモロコ,動物,1,crowd,1,"[0.19885212182998657, 0.7083922624588013, 0.09275566041469574]"
共和,国,0,crowd,0,"[0.1379784345626831, 0.7606751322746277, 0.10134650021791458]"
ロチェスター,湖岸の地域区分,1,crowd,1,"[0.17908303439617157, 0.7290019392967224, 0.09191501885652542]"
Hvítárlón,別名,0,crowd,1,"[0.18415290117263794, 0.7337045669555664, 0.08214253187179565]"
