text,attribute,model prediction,model choise,answer,model output
多々良沼,公園,0,crowd,0,"[0.219683438539505, 0.6640396118164062, 0.11627695709466934]"
約50万～35万年前,形成時期,0,crowd,1,"[0.17615126073360443, 0.7151524424552917, 0.10869631916284561]"
東経138度16分,幅,0,annotator,0,"[0.08811524510383606, 0.318269819021225, 0.5936148762702942]"
東経137.84333度,座標・経度,0,annotator,0,"[0.08735982328653336, 0.32279545068740845, 0.5898447632789612]"
トルクメンバシ,湖岸の地域区分,0,crowd,1,"[0.318530410528183, 0.5968901515007019, 0.08457941561937332]"
耳海,動物,0,crowd,0,"[0.19143319129943848, 0.7343912720680237, 0.07417552173137665]"
浮島,島,0,crowd,0,"[0.30648237466812134, 0.6040486097335815, 0.08946899324655533]"
ザカフカース社会主義連邦ソビエト共和国,国,0,crowd,1,"[0.12746354937553406, 0.568686842918396, 0.30384963750839233]"
北緯40度56分,座標・緯度,0,annotator,0,"[0.11647152155637741, 0.4215914011001587, 0.4619370698928833]"
75▁▁m,水面標高,1,crowd,1,"[0.23840206861495972, 0.7409577369689941, 0.020640145987272263]"
上田市,湖岸の地域区分,0,crowd,0,"[0.19215646386146545, 0.7135199904441833, 0.09432347118854523]"
西印旛沼,構成する湖沼,0,crowd,0,"[0.23689420521259308, 0.6378123164176941, 0.12529347836971283]"
中,所在地,0,crowd,0,"[0.23891502618789673, 0.6706998944282532, 0.09038509428501129]"
フィッシング,動物,0,crowd,0,"[0.32177284359931946, 0.5898427367210388, 0.08838440477848053]"
火山,形成時期,0,crowd,0,"[0.2044496387243271, 0.7367730140686035, 0.058777373284101486]"
170▁m,最大水深,1,crowd,1,"[0.22057832777500153, 0.7451463341712952, 0.03427533805370331]"
約2km,周囲長,1,crowd,1,"[0.2756308317184448, 0.5879184603691101, 0.13645069301128387]"
東経138度33分39秒,幅,0,annotator,0,"[0.0823223814368248, 0.3285636305809021, 0.5891140103340149]"
塩湖,種類,0,crowd,0,"[0.20324307680130005, 0.7186476588249207, 0.0781092643737793]"
ミル湖,別名,0,crowd,0,"[0.2225993126630783, 0.6711999773979187, 0.10620075464248657]"
