text,attribute,model prediction,model choise,answer,model output
多々良沼,公園,0,crowd,0,"[0.1315031796693802, 0.5422929525375366, -0.7794275283813477]"
約50万～35万年前,形成時期,0,crowd,1,"[0.1856909543275833, 0.6888864040374756, -1.0386415719985962]"
東経138度16分,幅,0,annotator,0,"[-0.6678569912910461, -0.4329302906990051, 0.5658912658691406]"
東経137.84333度,座標・経度,0,annotator,0,"[-0.7182506322860718, -0.4268893897533417, 0.5906606316566467]"
トルクメンバシ,湖岸の地域区分,0,system,1,"[0.7235128879547119, 0.25169089436531067, -1.1848137378692627]"
耳海,動物,0,crowd,0,"[0.36338427662849426, 0.6950429081916809, -1.2488983869552612]"
浮島,島,1,system,0,"[0.6604734659194946, 0.2783818244934082, -1.1384484767913818]"
ザカフカース社会主義連邦ソビエト共和国,国,1,annotator,1,"[-0.5956874489784241, 0.06386963278055191, 0.10363136976957321]"
北緯40度56分,座標・緯度,0,annotator,0,"[-0.4842056632041931, -0.1921391487121582, 0.26693955063819885]"
75▁▁m,水面標高,1,crowd,1,"[0.8191229701042175, 1.0118958950042725, -2.215808391571045]"
上田市,湖岸の地域区分,0,crowd,0,"[0.25078248977661133, 0.6254758834838867, -1.058122992515564]"
西印旛沼,構成する湖沼,0,crowd,0,"[0.2759113907814026, 0.39413580298423767, -0.8028914332389832]"
中,所在地,0,crowd,0,"[0.39233896136283875, 0.5056041479110718, -1.0336345434188843]"
フィッシング,動物,0,system,0,"[0.7084910273551941, 0.25495824217796326, -1.1797993183135986]"
火山,形成時期,0,crowd,0,"[0.4332541823387146, 0.6859086751937866, -1.2693183422088623]"
170▁m,最大水深,1,crowd,1,"[0.6782765984535217, 0.9443807005882263, -1.9278217554092407]"
約2km,周囲長,0,system,1,"[0.5408014059066772, 0.15288566052913666, -0.8257091641426086]"
東経138度33分39秒,幅,0,annotator,0,"[-0.7329275608062744, -0.38990354537963867, 0.5547292828559875]"
塩湖,種類,0,crowd,0,"[0.4036552608013153, 0.657570481300354, -1.238274097442627]"
ミル湖,別名,0,crowd,0,"[0.3402136266231537, 0.4996910095214844, -1.017970323562622]"
北緯35度20分39秒,島,0,annotator,0,"[-0.6957318782806396, -0.31999844312667847, 0.48631250858306885]"
湖,種類,0,crowd,1,"[0.5532212257385254, 0.6273589134216309, -1.3656625747680664]"
ため池,種類,0,system,0,"[0.5800287127494812, 0.26914066076278687, -1.0375901460647583]"
人工湖,種類,0,crowd,1,"[0.3262653946876526, 0.4433578848838806, -0.9162321090698242]"
北緯40度44分46秒,島,0,annotator,0,"[-0.6824308037757874, -0.40964847803115845, 0.5696755051612854]"
清久工業団地のほぼ,所在地,0,crowd,0,"[-0.20315855741500854, 0.44917064905166626, -0.43669018149375916]"
京都市北区上賀茂深泥池町[1],所在地,0,crowd,0,"[0.38629695773124695, 1.0188442468643188, -1.727590799331665]"
タモロコ,動物,1,system,1,"[0.5872352719306946, 0.29753610491752625, -1.0795047283172607]"
共和,国,0,crowd,0,"[0.3356196880340576, 0.5217252969741821, -0.9682852029800415]"
ロチェスター,湖岸の地域区分,1,system,1,"[0.6287826895713806, 0.2987329065799713, -1.1150444746017456]"
Hvítárlón,別名,0,system,1,"[0.6699990034103394, 0.30400899052619934, -1.1738741397857666]"
東経145.35000度,座標・経度,0,annotator,0,"[-0.6992453336715698, -0.4142370820045471, 0.5710901618003845]"
石油産業,産業,0,crowd,1,"[0.25458598136901855, 0.480017751455307, -0.8630781769752502]"
km最大水深7[1,周囲長,0,crowd,0,"[0.4924866557121277, 0.7074838876724243, -1.4731301069259644]"
淡水,水質（淡水・汽水）,0,system,1,"[0.6644900441169739, 0.20441271364688873, -1.0622518062591553]"
古代の火山噴火により流出河川が遮断されたため塩湖,成因,0,crowd,0,"[0.26298078894615173, 0.660774290561676, -1.1169034242630005]"
北緯44度,島,0,crowd,0,"[0.1977391541004181, 0.5277450084686279, -0.849370002746582]"
