text,attribute,model prediction,model choise,answer,model output
多々良沼,公園,0,crowd,0,"[0.19012139737606049, 0.6889925003051758, 0.12088605761528015]"
約50万～35万年前,形成時期,0,crowd,1,"[0.13888007402420044, 0.749345064163208, 0.11177489161491394]"
東経138度16分,幅,0,annotator,0,"[0.0699145570397377, 0.3660068213939667, 0.5640785694122314]"
東経137.84333度,座標・経度,0,annotator,0,"[0.06066964566707611, 0.3421613574028015, 0.597169041633606]"
トルクメンバシ,湖岸の地域区分,0,crowd,1,"[0.255434513092041, 0.6620725393295288, 0.08249294757843018]"
耳海,動物,0,crowd,0,"[0.14628328382968903, 0.7799149751663208, 0.0738016813993454]"
浮島,島,0,crowd,0,"[0.2409949153661728, 0.6683544516563416, 0.09065066277980804]"
ザカフカース社会主義連邦ソビエト共和国,国,0,crowd,1,"[0.09435408562421799, 0.5479753017425537, 0.3576706349849701]"
北緯40度56分,座標・緯度,1,crowd,0,"[0.09137207269668579, 0.48066601157188416, 0.4279618561267853]"
75▁▁m,水面標高,1,crowd,1,"[0.17551466822624207, 0.8029980063438416, 0.021487293764948845]"
上田市,湖岸の地域区分,0,crowd,0,"[0.15336936712265015, 0.749202311038971, 0.09742831438779831]"
西印旛沼,構成する湖沼,0,crowd,0,"[0.18357716500759125, 0.6859024167060852, 0.13052037358283997]"
中,所在地,0,crowd,0,"[0.18949835002422333, 0.7221923470497131, 0.08830924332141876]"
フィッシング,動物,0,crowd,0,"[0.2556679844856262, 0.6601496934890747, 0.08418228477239609]"
火山,形成時期,0,crowd,0,"[0.16680926084518433, 0.7676882743835449, 0.06550252437591553]"
170▁m,最大水深,1,crowd,1,"[0.17149099707603455, 0.7984004020690918, 0.030108563601970673]"
約2km,周囲長,1,crowd,1,"[0.19930367171764374, 0.6672120094299316, 0.13348431885242462]"
東経138度33分39秒,幅,0,annotator,0,"[0.059800151735544205, 0.3453584313392639, 0.5948414206504822]"
塩湖,種類,0,crowd,0,"[0.16259977221488953, 0.7526395916938782, 0.08476060628890991]"
ミル湖,別名,0,crowd,0,"[0.17553457617759705, 0.7197509407997131, 0.10471443086862564]"
北緯35度20分39秒,島,0,annotator,0,"[0.06113971769809723, 0.36240407824516296, 0.5764561891555786]"
湖,種類,0,crowd,1,"[0.1867794394493103, 0.7390345335006714, 0.07418598234653473]"
ため池,種類,0,crowd,0,"[0.23828764259815216, 0.6529282331466675, 0.10878406465053558]"
人工湖,種類,0,crowd,1,"[0.18679457902908325, 0.6915431618690491, 0.1216622069478035]"
北緯40度44分46秒,島,0,annotator,0,"[0.06594667583703995, 0.3595888316631317, 0.5744644999504089]"
清久工業団地のほぼ,所在地,0,crowd,0,"[0.12883509695529938, 0.6652728319168091, 0.20589207112789154]"
京都市北区上賀茂深泥池町[1],所在地,0,crowd,0,"[0.15615734457969666, 0.8089725971221924, 0.03487009182572365]"
タモロコ,動物,1,crowd,1,"[0.25034403800964355, 0.6586737632751465, 0.09098226577043533]"
共和,国,0,crowd,0,"[0.16482946276664734, 0.7443084716796875, 0.09086208790540695]"
ロチェスター,湖岸の地域区分,1,crowd,1,"[0.24105601012706757, 0.6668009757995605, 0.09214308112859726]"
Hvítárlón,別名,0,crowd,1,"[0.23522362112998962, 0.6829245686531067, 0.08185175061225891]"
東経145.35000度,座標・経度,0,annotator,0,"[0.06045914068818092, 0.3390243947505951, 0.6005164384841919]"
石油産業,産業,0,crowd,1,"[0.16491828858852386, 0.7150058746337891, 0.12007583677768707]"
km最大水深7[1,周囲長,0,crowd,0,"[0.1545744240283966, 0.7852327823638916, 0.0601927787065506]"
淡水,水質（淡水・汽水）,1,crowd,1,"[0.26695072650909424, 0.6420137882232666, 0.09103550761938095]"
